,Angra dos Reis,Aperibé,Araruama,Areal,Armação dos Búzios,Arraial do Cabo,Barra do Piraí,Barra Mansa,Belford Roxo,Bom Jardim,Bom Jesus do Itabapoana,Cabo Frio,Cachoeiras de Macacu,Cambuci,Carapebus,Comendador Levy Gasparian,Campos dos Goytacazes,Cantagalo,Cardoso Moreira,Carmo,Casimiro de Abreu,Conceição de Macabu,Cordeiro,Duas Barras,Duque de Caxias,Engenheiro Paulo de Frontin,Guapimirim,Iguaba Grande,Itaboraí,Itaguaí,Italva,Itaocara,Itaperuna,Itatiaia,Japeri,Laje do Muriaé,Macaé,Macuco,Magé,Mangaratiba,Maricá,Mendes,Mesquita,Miguel Pereira,Miracema,Natividade,Nilópolis,Niterói,Nova Friburgo,Nova Iguaçu,Paracambi,Paraíba do Sul,Paraty,Paty do Alferes,Petrópolis,Pinheiral,Piraí,Porciúncula,Porto Real,Quatis,Queimados,Quissamã,Resende,Rio Bonito,Rio Claro,Rio das Flores,Rio das Ostras,Rio de Janeiro,Santa Maria Madalena,Santo Antônio de Pádua,São Francisco de Itabapoana,São Fidélis,São Gonçalo,São João da Barra,São João de Meriti,São José de Ubá,São José do Vale do Rio Preto,São Pedro da Aldeia,São Sebastião do Alto,Sapucaia,Saquarema,Seropédica,Silva Jardim,Sumidouro,Tanguá,Teresópolis,Trajano de Moraes,Três Rios,Valença,Varre-Sai,Vassouras,Volta Redonda
2020-03-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,37,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,489,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
2020-03-29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-03-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,37,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-04-01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2020-04-03,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,1,2,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
2020-04-04,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,7,0,0,0,0,0,0,0,4,0,1,1,2,0,1,0,0,0,0,14,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1
2020-04-05,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,3,8,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,3,1,6,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0
2020-04-06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10
2020-04-07,1,0,0,0,0,0,1,5,5,1,0,1,0,0,0,0,1,0,0,0,3,0,0,0,12,0,1,2,2,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,5,2,3,9,0,1,0,0,4,0,0,0,1,2,1,0,1,1,0,0,0,141,0,0,0,0,9,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3
2020-04-08,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,12,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,198,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-09,0,0,2,0,0,0,0,0,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,5,3,0,0,0,0,2,0,0,0,2,0,2,0,10,0,0,0,2,11,6,7,0,0,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,184,0,0,0,0,5,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5
2020-04-10,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,0,1,0,0,0,0,2,1,3,0,4,1,0,0,1,0,0,11,1,0,0,0,4,0,0,0,1,0,1,0,1,1,0,0,2,175,0,0,1,0,4,0,2,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,8
2020-04-11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,97,0,0,0,0,29,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-12,1,0,0,0,0,0,3,0,17,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,19,0,0,1,4,1,0,0,0,0,0,0,0,0,9,0,3,0,7,0,0,0,6,0,2,15,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,91,0,0,0,2,12,0,6,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,36
2020-04-13,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,1,3,0,2,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,5
2020-04-14,0,0,3,0,1,1,3,1,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,11,0,0,1,4,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,2,24,1,26,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,1,71,0,0,0,0,9,0,9,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1
2020-04-15,0,0,4,1,0,1,2,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0,3,1,0,0,1,0,1,0,1,0,7,1,11,1,18,0,0,0,2,19,4,28,2,0,2,0,14,0,0,0,0,0,2,2,0,0,0,0,1,126,0,0,0,0,5,0,22,0,0,1,0,1,0,0,1,0,0,3,0,4,0,0,0,9
2020-04-16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,1,0,0,0,0,2,0,5,0,0,0,24,0,0,0,0,0,0,1,0,0,0,0,3,140,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-04-17,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,2,1,0,0,0,0,1,0,1,0,5,0,0,0,2,2,0,0,1,18,3,9,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,2,287,0,0,0,0,5,0,8,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,26
2020-04-18,0,0,1,0,0,0,1,1,5,2,0,1,0,0,0,0,1,0,0,0,3,0,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,4,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,2,113,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-04-19,0,0,6,0,3,0,2,0,6,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,8,1,0,0,0,0,0,0,2,0,0,0,3,0,3,0,0,0,1,13,1,11,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,67,0,0,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2
