Afonso Cláudio,Águia Branca,Água Doce do Norte,Alegre,Alfredo Chaves,Alto Rio Novo,Anchieta,Apiacá,Aracruz,Atílio Vivacqua,Baixo Guandu,Barra de São Francisco,Boa Esperança,Bom Jesus do Norte,Brejetuba,Cachoeiro de Itapemirim,Cariacica,Castelo,Colatina,Conceição da Barra,Conceição do Castelo,Divino de São Lourenço,Domingos Martins,Dores do Rio Preto,Ecoporanga,Fundão,Governador Lindenberg,Guaçuí,Guarapari,Ibatiba,Ibiraçu,Ibitirama,Iconha,Irupi,Itaguaçu,Itapemirim,Itarana,Iúna,Jaguaré,Jerônimo Monteiro,João Neiva,Laranja da Terra,Linhares,Mantenópolis,Marataízes,Marechal Floriano,Marilândia,Mimoso do Sul,Montanha,Mucurici,Muniz Freire,Muqui,Nova Venécia,Pancas,Pedro Canário,Pinheiros,Piúma,Ponto Belo,Presidente Kennedy,Rio Bananal,Rio Novo do Sul,Santa Leopoldina,Santa Maria de Jetibá,Santa Teresa,São Domingos do Norte,São Gabriel da Palha,São José do Calçado,São Mateus,São Roque do Canaã,Serra,Sooretama,Vargem Alta,Venda Nova do Imigrante,Viana,Vila Pavão,Vila Valério,Vila Velha,Vitória
30586,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,17,45,17,0,48,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,10,0,0,0,0,0,13,0,0,49,0,0,0,39,112
0,9642,9,0,0,0,0,0,6,0,0,80,0,0,0,5,0,0,79,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,55,116,0,0,0,0,0,0,0,0,0,0,59,97,0,0,0,6,0,0,0,0,5,0,0,12
0,0,11019,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,42,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,19
0,0,0,30084,0,0,25,0,0,0,0,0,0,0,0,275,12,25,0,0,0,0,0,0,0,0,0,146,25,0,0,28,0,0,0,12,0,0,0,128,0,0,0,0,0,0,0,26,0,0,87,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,8,85
0,0,0,0,14601,0,109,0,0,0,0,0,0,0,0,72,18,0,0,0,0,0,56,0,0,0,0,0,124,0,5,0,36,0,0,0,0,0,0,0,0,6,8,0,0,172,0,0,0,0,0,0,0,0,0,0,22,0,4,0,0,0,0,0,0,0,0,7,0,15,0,26,17,40,0,0,15,118
0,2,0,0,0,7836,0,0,0,0,13,12,0,0,0,0,0,0,123,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,56,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,6,3,0,5,0,0,0,3,0,0,0,0,0,0,0,3
0,0,0,0,94,0,29263,0,19,0,0,0,0,0,0,150,31,0,0,0,0,0,0,0,0,0,0,0,595,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,0,0,77,190
0,0,0,0,0,0,0,7567,0,0,0,0,0,55,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6
0,0,0,40,0,0,11,0,1.0122e+05,0,10,0,0,0,0,25,36,0,107,10,0,0,0,0,0,68,0,0,18,0,58,0,0,0,0,0,0,0,10,0,177,0,500,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,111,0,0,0,125,0,376,0,0,0,0,0,0,72,734
0,0,0,0,0,0,0,0,0,11936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,12,0,0,0,0,42,0,30998,0,0,0,0,0,0,0,614,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,43,0,0,0,0,157,23,0,0,9,0,8,0,0,0,0,0,116,0,0,0,0,0,0,0,10,13,13,0,16,0,0,4,21,0,0,0,0,0,0,26,198
0,8,126,0,0,0,0,0,10,0,0,44650,0,0,0,11,0,0,165,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,5,12,10,0,0,0,11,0,0,0,0,109,0,10,75
0,0,0,0,0,0,0,0,0,0,0,5,15037,0,0,6,11,0,36,53,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,21,11,0,0,158,0,0,106,0,7,0,0,0,0,0,0,5,12,0,126,7,0,0,0,0,0,0,0,3,39
0,0,0,3,0,0,0,84,0,0,0,0,0,9936,0,12,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,5,0,0,0,0,0,20
98,0,0,0,0,0,0,0,0,0,0,0,0,0,12404,0,0,25,0,0,34,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,83,0,0,0,4,16
34,0,0,215,23,0,27,0,16,0,0,8,0,9,0,2.0897e+05,30,588,34,0,0,0,0,0,10,0,0,24,66,0,0,4,53,0,0,250,0,0,0,101,0,0,0,0,93,0,0,96,0,0,32,91,0,12,0,0,12,0,75,0,94,0,16,0,0,0,0,0,0,33,0,298,31,43,0,0,120,641
